,airline_name,date_of_journey,source,destination,departure_time,arrival_time,duration,total_stops,price
0,IndiGo,"Mon, 15 Nov",New Delhi,Chennai,20:30,23:20,2h 50m,2 Stops,"2,341"
1,SpiceJet,"Mon, 15 Nov",New Delhi,Chennai,18:25,21:10,2h 45m,1 Stop,"2,621"
2,SpiceJet,"Mon, 15 Nov",New Delhi,Chennai,06:15,09:10,2h 55m,1 Stop,"2,621"
3,Air India,"Mon, 15 Nov",New Delhi,Chennai,20:40,23:35,2h 55m,1 Stop,"2,658"
4,Vistara,"Mon, 15 Nov",New Delhi,Chennai,13:30,16:20,2h 50m,1 Stop,"2,715"
5,Vistara,"Mon, 15 Nov",New Delhi,Chennai,19:55,22:45,2h 50m,1 Stop,"2,715"
6,IndiGo,"Mon, 15 Nov",New Delhi,Chennai,12:45,15:40,2h 55m,1 Stop,"2,823"
7,Air India,"Mon, 15 Nov",New Delhi,Chennai,06:05,08:55,2h 50m,,"3,078"
8,Air India,"Mon, 15 Nov",New Delhi,Chennai,09:45,12:40,2h 55m,1 Stop,"3,078"
9,Vistara,"Mon, 15 Nov",New Delhi,Chennai,07:20,10:10,2h 50m,1 Stop,"3,152"
10,Air India,"Tue, 4 Jan",New Delhi,Hyderabad,09:45,11:55,2h 10m,1 Stop,"2,098"
11,Air India,"Tue, 4 Jan",New Delhi,Hyderabad,08:10,10:30,2h 20m,2 Stops,"2,098"
12,Air India,"Tue, 4 Jan",New Delhi,Hyderabad,21:10,23:35,2h 25m,1 Stop,"2,098"
13,IndiGo,"Tue, 4 Jan",New Delhi,Hyderabad,11:35,13:50,2h 15m,1 Stop,"2,510"
14,IndiGo,"Tue, 4 Jan",New Delhi,Hyderabad,07:00,09:20,2h 20m,1 Stop,"2,510"
15,IndiGo,"Tue, 4 Jan",New Delhi,Hyderabad,08:40,11:00,2h 20m,,"2,510"
16,IndiGo,"Tue, 4 Jan",New Delhi,Hyderabad,23:05,"01:20
+ 1 day",2h 15m,2 Stops,"2,720"
17,IndiGo,"Tue, 4 Jan",New Delhi,Hyderabad,20:45,23:10,2h 25m,,"2,720"
18,Air Asia,"Tue, 4 Jan",New Delhi,Hyderabad,16:15,20:25,4h 10m,,"3,120"
19,SpiceJet,"Tue, 4 Jan",New Delhi,Hyderabad,17:00,19:05,2h 05m,,"3,199"
20,Air India,"Tue, 11 Jan",New Delhi,Goa,22:00,"00:35
+ 1 day",2h 35m,,"3,563"
21,Air India,"Tue, 11 Jan",New Delhi,Goa,08:00,14:45,6h 45m,1 Stop,"3,988"
22,Air India,"Tue, 11 Jan",New Delhi,Goa,07:00,14:45,7h 45m,2 Stops,"3,988"
23,Air India,"Tue, 11 Jan",New Delhi,Goa,20:00,"14:45
+ 1 day",18h 45m,2 Stops,"3,988"
24,Air India,"Tue, 11 Jan",New Delhi,Goa,19:00,"14:45
+ 1 day",19h 45m,1 Stop,"3,988"
25,Air India,"Tue, 11 Jan",New Delhi,Goa,20:00,"22:35
+ 1 day",26h 35m,1 Stop,"3,988"
26,Air India,"Tue, 11 Jan",New Delhi,Goa,19:00,"22:35
+ 1 day",27h 35m,1 Stop,"3,988"
27,Air India,"Tue, 11 Jan",New Delhi,Goa,10:40,20:30,9h 50m,,"4,116"
28,Air India,"Tue, 11 Jan",New Delhi,Goa,08:00,20:30,12h 30m,,"4,116"
29,Air India,"Tue, 11 Jan",New Delhi,Goa,07:00,20:30,13h 30m,,"4,116"
30,IndiGo,"Mon, 15 Nov",New Delhi,Bangalore,13:00,20:45,7h 45m,,"3,170"
31,IndiGo,"Mon, 15 Nov",New Delhi,Bangalore,23:05,"06:55
+ 1 day",7h 50m,1 Stop,"3,170"
32,IndiGo,"Mon, 15 Nov",New Delhi,Bangalore,05:15,14:20,9h 05m,,"3,170"
33,IndiGo,"Mon, 15 Nov",New Delhi,Bangalore,23:05,"08:15
+ 1 day",9h 10m,1 Stop,"3,170"
34,IndiGo,"Mon, 15 Nov",New Delhi,Bangalore,13:00,22:50,9h 50m,2 Stops,"3,170"
35,SpiceJet,"Mon, 15 Nov",New Delhi,Bangalore,06:15,21:10,14h 55m,,"3,881"
36,SpiceJet,"Mon, 15 Nov",New Delhi,Bangalore,18:25,"21:10
+ 1 day",26h 45m,2 Stops,"3,881"
37,Air India,"Mon, 15 Nov",New Delhi,Bangalore,21:10,"22:15
+ 1 day",25h 05m,2 Stops,"4,146"
38,Air India,"Mon, 15 Nov",New Delhi,Bangalore,20:40,"15:20
+ 1 day",18h 40m,,"4,170"
39,IndiGo,"Mon, 15 Nov",New Delhi,Bangalore,06:10,08:50,2h 40m,,"4,200"
40,Air Asia,"Wed, 17 Nov",New Delhi,Mumbai,04:25,06:35,2h 10m,,"2,456"
41,Go First,"Wed, 17 Nov",New Delhi,Mumbai,07:00,09:10,2h 10m,2 Stops,"2,456"
42,IndiGo,"Wed, 17 Nov",New Delhi,Mumbai,07:15,09:25,2h 10m,,"2,456"
43,IndiGo,"Wed, 17 Nov",New Delhi,Mumbai,23:15,"01:25
+ 1 day",2h 10m,2 Stops,"2,456"
44,IndiGo,"Wed, 17 Nov",New Delhi,Mumbai,04:45,07:10,2h 25m,1 Stop,"2,456"
45,IndiGo,"Wed, 17 Nov",New Delhi,Mumbai,12:55,17:50,4h 55m,1 Stop,"2,456"
46,IndiGo,"Wed, 17 Nov",New Delhi,Mumbai,21:20,"07:05
+ 1 day",9h 45m,1 Stop,"2,456"
47,IndiGo,"Wed, 17 Nov",New Delhi,Mumbai,12:55,23:15,10h 20m,1 Stop,"2,456"
48,IndiGo,"Wed, 17 Nov",New Delhi,Mumbai,21:50,"08:15
+ 1 day",10h 25m,,"2,456"
49,Air India,"Wed, 17 Nov",New Delhi,Mumbai,17:50,21:35,3h 45m,1 Stop,"2,476"
50,Air India,"Sat, 8 Jan",New Delhi,Port Blair,20:40,"11:25
+ 1 day",14h 45m,1 Stop,"6,018"
51,Air India,"Sat, 8 Jan",New Delhi,Port Blair,09:45,"11:25
+ 1 day",25h 40m,,"6,018"
52,Air India,"Sat, 8 Jan",New Delhi,Port Blair,20:40,"08:15
+ 1 day",11h 35m,2 Stops,"6,517"
53,Air India,"Sat, 8 Jan",New Delhi,Port Blair,09:45,"08:15
+ 1 day",22h 30m,,"6,517"
54,Air India,"Sat, 8 Jan",New Delhi,Port Blair,06:05,"08:15
+ 1 day",26h 10m,2 Stops,"6,517"
55,IndiGo,"Sat, 8 Jan",New Delhi,Port Blair,18:45,"07:15
+ 1 day",12h 30m,,"6,978"
56,Air India,"Sat, 8 Jan",New Delhi,Port Blair,21:10,"11:25
+ 1 day",14h 15m,,"7,252"
57,Air India,"Sat, 8 Jan",New Delhi,Port Blair,20:00,"11:25
+ 1 day",15h 25m,,"7,663"
58,Air India,"Sat, 8 Jan",New Delhi,Port Blair,19:00,"11:25
+ 1 day",16h 25m,,"7,663"
59,Air India,"Sat, 8 Jan",New Delhi,Port Blair,10:40,"11:25
+ 1 day",24h 45m,,"7,663"
60,Air India,"Mon, 29 Nov",New Delhi,Imphal,05:15,"11:45
+ 1 day",30h 30m,,"3,935"
61,Air India,"Mon, 29 Nov",New Delhi,Imphal,16:15,"13:50
+ 1 day",21h 35m,,"4,360"
62,IndiGo,"Mon, 29 Nov",New Delhi,Imphal,05:55,11:15,5h 20m,,"4,555"
63,IndiGo,"Mon, 29 Nov",New Delhi,Imphal,07:10,13:25,6h 15m,2 Stops,"4,605"
64,Air Asia,"Mon, 29 Nov",New Delhi,Imphal,05:45,10:45,5h 00m,2 Stops,"4,690"
65,Air Asia,"Mon, 29 Nov",New Delhi,Imphal,07:10,16:40,9h 30m,,"4,690"
66,Air Asia,"Mon, 29 Nov",New Delhi,Imphal,05:45,16:40,10h 55m,,"4,690"
67,Air Asia,"Mon, 29 Nov",New Delhi,Imphal,07:10,10:45,3h 35m,,"4,790"
68,Air Asia,"Mon, 29 Nov",New Delhi,Imphal,12:50,16:40,3h 50m,,"4,790"
69,IndiGo,"Mon, 29 Nov",New Delhi,Imphal,11:25,14:10,2h 45m,,"4,840"
70,Air India,"Fri, 12 Nov",New Delhi,Vijayawada,06:00,08:15,2h 15m,,"5,416"
